cleaned_text,sentiment_scores,sentiment_labels
got ur fare really shame already booked paid mine,0.6625009,neutral
boo,0.4706193,neutral
nan,0.52818847,neutral
chalkboard useless,0.76126695,negative
blast getty hate sore throat getting worse,0.9694764,negative
hey missed ya meeting sup mama,0.5876086,neutral
tummy wonder hypnosis anything get stop,0.5935294,neutral
always fat,0.58363485,negative
fam annoys asleep right,0.77707076,negative
paid attention covered photoshop webpage design class undergrad,0.7172275,neutral
wednesday know,0.71633005,neutral
poor cameron,0.62930167,negative
pray ex threatening start baby birthday still headache,0.5417973,neutral
hmm u really enjoy problem constant u think thing find someone ulike,0.7707812,positive
strider sick little puppy,0.8377484,negative
go party sadly since easter wnt b able much ohh,0.623323,negative
actually one bracket bad one money,0.782559,negative
follow either work,0.7154161,neutral
bad nite favorite astros spartan nite,0.65158963,neutral
body missing northern girl police found remains missing northern california girl,0.73581433,neutral
hope increase capacity yesterday got fail whale time,0.6889589,neutral
behind class work,0.679479,neutral
watching,0.6731819,neutral
remember bum strike back time serious,0.6065016,neutral
kind complaint laptop online recall,0.5394301,neutral
emily glad mommy done training new miss,0.8929842,positive
would rather first party send bad message party send mixed one sophmore year,0.5805904,negative
overrated,0.833531,negative
heard afternoon wondered moscow behind time,0.85315466,neutral
laying bed,0.64255255,neutral
sooo killed kutner house whyyyyyyyy,0.8603832,negative
sorry tell mea culpa really,0.64443207,neutral
make sense suicide refuse believe actually,0.61023146,neutral
hope,0.5813326,neutral
grind inspirational saddening want stop cuz like u much love,0.58341056,negative
yeah aw know wudnt stand chance,0.517686,negative
cant,0.49769935,negative
hanging wan na,0.6440426,neutral
aaw miss ya im leaving bh tomorrow aww wan na go beach w u,0.6156292,neutral
pissed radio,0.69905365,negative
wednesday n know,0.74890554,neutral
know life flipped upside thought head ramen sound,0.51213306,neutral
back side mention cry made,0.7545081,neutral
late night glass oj back hate getting,0.77313447,negative
big fan camilla belle,0.8086057,positive
wah see must work wait get something else blame ex broke mine,0.69854176,negative
week seems get longer longer term much need much actually going get done,0.6324335,neutral
cold,0.518225,neutral
ehhh gon na take turn ugly tomorrow,0.599819,negative
haha cooooold still go incredible stuff,0.8392056,positive
hoping tummy rumble go away soon,0.5844566,neutral
told working called agency follow said,0.85315543,neutral
almost bedtime,0.6542239,neutral
missing long alive tired love imma try sleep hopefully headstart,0.715284,positive
nan,0.52818847,neutral
miss kenny power,0.76917255,neutral
thank letting people sad direct message got actually bridget,0.6365628,neutral
india missed test victory n consecutive win without,0.49918967,negative
guess,0.57303655,neutral
sadly going,0.77914256,negative
shame hear stephan,0.82934433,negative
leavin,0.6081426,neutral
intending finish editing novel manuscript probably page left,0.89591306,neutral
laid around much head hurt,0.8543125,negative
still read princess diary saving francesca made cry hmm easy,0.54677004,positive
nokia,0.598731,neutral
mom might breast cancer find anything like week,0.7349377,negative
going hoping tomorrow better,0.86291367,positive
wish understood daylight saving ended though breakfast hour later keep waking kid,0.76651615,neutral
lame,0.65503156,negative
really,0.60625404,neutral
hero,0.5421822,neutral
living downtown sure much,0.80337024,neutral
calorie wise wish junk food calorie ate thing sour skittle big as cherry,0.7506008,negative
man work hard,0.5337434,positive
getting sick time hot sleeeep,0.58916426,neutral
getting eyebrow pain,0.59403753,negative
phantasy star yesterday going,0.8408682,neutral
oh got macheist apps get espresso serial though although said sent oh well,0.74478006,neutral
picked mich st win get feeling pretty good pick way lost,0.6238923,positive
alone,0.59930193,neutral
feel bad,0.8780874,negative
hate mean kinda mean,0.8256142,negative
yes sprint baltimore chicago far,0.64139354,neutral
stuck awake middle night second day felt terrible,0.9560149,negative
thanks bursting bubble,0.6823469,neutral
going school find anything gosh hard,0.79788053,negative
serious lol,0.547221,neutral
page sooooo got deleted sad day history,0.8736732,negative
crazy wind today birding,0.66631854,neutral
currently,0.5463928,neutral
ipod acting weird jai ho thinking playing full,0.654512,negative
send dvd co missed heap happy,0.706848,positive
see big deal website,0.8176959,neutral
sorry go,0.5659416,neutral
far way,0.53769267,neutral
still keep heart,0.5451204,positive
today realized good hiding even find,0.8261709,positive
staying friend neighbor party,0.57846117,neutral
danny im upset wasnt watch live chat hour trip im soooo,0.9074641,negative
check mug,0.67805547,neutral
border closed,0.712943,neutral
downloading new album hell come behind time day,0.7242676,neutral
woke already written go early university today teach,0.833677,neutral
watching hill making sad,0.8080733,negative
many yet lazy day may find hobby,0.6006704,neutral
miss buddy ill ny,0.6759545,neutral
love tell people south french snarl french beautiful people,0.95086336,positive
still got one day remain problem come,0.60438395,neutral
activated selfcontrol block meaning check new regularizing internal clock might,0.89244306,neutral
oh,0.5070511,neutral
spencer good,0.65196365,positive
reese dying season finale next madame president crazy,0.6257796,neutral
hate limited guy pray well,0.617721,neutral
get shit done today screwed,0.5986982,negative
wanttss go,0.5944841,neutral
going sleep,0.6411786,neutral
worried tired post tonight,0.5790222,negative
get shit done today screwed,0.5986982,negative
job interview cardiff wish got hour sleep,0.7762219,neutral
show way worse,0.95613736,negative
really think people choose think chose accept help might dead,0.5598428,negative
going kill seen waiting till one solid week,0.7170706,neutral
think ur hr,0.7511398,neutral
hate see spartan sad,0.9511657,negative
mind body severely protesting nightmare boot,0.6982375,negative
follow since u lol go,0.64926696,neutral
nan,0.52818847,neutral
think want read book library,0.6633211,neutral
nap interrupted many time today going japanese,0.5559167,neutral
kind longs bus show end ghost world right,0.8074306,neutral
canada canada supposed get snow,0.8027684,neutral
awwh look sad underneith shop entrance like look new transformer movie,0.69455576,negative
sad macbook fell,0.8025125,negative
gon na get late tomorrow gon na get tipsy sad,0.67628783,neutral
sweating forthcoming trip find someone crash may,0.8713371,neutral
gotten somebody read cant get make,0.4893673,neutral
omgawd couldnt handle cat heat time,0.9368074,negative
hope make auburn looking good,0.8905467,positive
people mag haha couldnt fit dont think picture ever made magazine haha,0.7458277,negative
totally forgot submit photo,0.56534785,negative
good luck please work hard hope fun new album gon na xxx,0.9751974,positive
leaving,0.7895299,neutral
miss phone using stupid nokia miss advance,0.904088,negative
shooting outside house scared,0.65093565,negative
start reflection lecture stress reducing sure might become useful u accompaniers,0.6079842,positive
tragedy disaster news week,0.8531236,negative
yes yes still trying find picture upload,0.6700324,neutral
oh red sox game rained looking forward opening day,0.8424566,positive
still find,0.6632153,neutral
know dunno going,0.64493763,neutral
might getting sore throat,0.70599174,negative
home mammy called pls explain parent let old child walk,0.56448376,neutral
think need find better think combo losing,0.51095337,negative
restaurant called woodntap competitive eating tourney round tourney place,0.90197825,neutral
wake,0.575399,neutral
want taco margarhitas telll gay say,0.79818594,neutral
im lonely keep california,0.51759607,negative
bad day betfair office,0.8357307,negative
miss wait celebrate tar heel win weekend,0.7157705,positive
really want go sleep yet nothing,0.49970055,negative
officially go,0.8437265,neutral
found twin wont even write heartbroken,0.50817615,negative
aww know felt like yesterday work,0.60007197,neutral
treaty defined,0.6999383,neutral
missed brent praise fun lead,0.6007694,neutral
poor john happens play fruit seriously though seen xxx,0.76273406,neutral
missing bff watching home away reminds shout u court,0.6399823,neutral
nan,0.52818847,neutral
new video card,0.8023395,neutral
feeling naked confused sort iphone,0.6078241,negative
damn late filling appraisal people almost sent occupied work,0.910717,negative
missed brent praise fun lead,0.6007694,neutral
think much cant change deserved much wat still thinking gah,0.56243044,neutral
lost seen,0.58922553,neutral
download shitloads zip folder internet fuck yeah alicia,0.8755799,negative
still nursing nile glad feeling hate baby sick,0.5867201,negative
fucked go back ic,0.90471756,negative
internet rude reconnected go,0.5212565,neutral
well uni stuff netball netbal done uni stuff,0.7820235,neutral
poor,0.6239659,negative
help forget april,0.64578384,neutral
dierks bentley wan na go bad,0.5825249,neutral
take sidekick,0.8040496,neutral
totally wish xm working,0.6413628,neutral
face itchy,0.5618736,negative
poor sock luvvvvv golden want one sighhhh,0.7321296,positive
saw found tracy girl piece fucking terrible,0.9728506,negative
aaaaand nausea,0.6932428,negative
ooh excited even going long love,0.9850579,positive
spent hour reach axis bank find today holiday mahavir jayanti,0.9153206,neutral
jobros dont update there often,0.54879713,neutral
hilarious linked clip lj time ago went back dead link,0.55844104,negative
oooooooo neither thats need study,0.51105666,neutral
tweeted nearly day posted website hopefully go well night,0.9224003,positive
miss bentley,0.75598305,neutral
seriously need finish job application,0.62546587,neutral
son vinca stay home three tense day back holiday kid,0.8262041,neutral
understand english rewrote text written good,0.5845185,positive
want ever punch,0.5880252,neutral
sooo sick snow ughh,0.9681681,negative
nan,0.52818847,neutral
work fan upset,0.69283164,negative
would like apologize repeated video game live related going stern discussion koodo,0.5337593,neutral
cant figure get back pay hotel etc,0.584842,negative
much bc technological class,0.5978995,neutral
feel like slept day looking forward bout least pill,0.68567485,positive
really want old bass back,0.5373077,positive
mad tired callin early tonight nighty night twittas,0.51288736,neutral
take good,0.61919063,positive
afraid bad,0.70840305,negative
think going hate,0.80057925,negative
love,0.5487024,positive
time notice needed,0.7952568,neutral
bathroom,0.62818533,neutral
wanted margarita,0.7749446,neutral
yup night workout r worst unfortunetly work schedule allows go night,0.8598967,negative
called hillsong said tell waiting list know looking good,0.72564757,positive
milky bar around coke,0.78259397,neutral
stillllll arrived,0.653032,neutral
feel like first art school want rape,0.7707004,negative
bet like craving play softball basketball noo time,0.8337483,neutral
terrified accidentally deleted reference management assignment hope doesnt get trouble get back,0.63274765,negative
amazon plugin worked website need php hosting provider php,0.64308804,neutral
suuuper sleepy hour wide hope stay,0.5557956,positive
wish sold time let would love hear,0.8152623,positive
watched tropic dreading tomorrow,0.7539518,neutral
still,0.57494235,neutral
chiefdelphi,0.59225327,neutral
according new puppy poo fight covered poop stolen,0.6894171,negative
playing game new bos call,0.8163398,neutral
su yin huen tweeted feel unbearable made staff cry,0.86853033,negative
poor joshy damn,0.83883154,negative
thought sandra family difficult sad time,0.8108103,negative
wanted let everybody know happening,0.81380135,neutral
michigan know,0.6777071,neutral
fill two hour,0.723888,neutral
miss seeing girl everyday,0.5955596,neutral
mention im back office,0.8140301,neutral
throat closing string good idea,0.6397204,positive
sandra cantu found dead suitcase missing child story never seem go poor,0.61294514,negative
wishing home underneath cover,0.7469191,neutral
walking home school drain energy,0.79901236,negative
shapeshifting excited thought noah awesome,0.9780588,positive
would done knew outing,0.5488678,neutral
wish better taking long write,0.6033945,neutral
access halo mythic map pack bad legendary map,0.7643121,negative
yet another week told little bit busy latest,0.5551862,neutral
ha already gone,0.6299306,neutral
day lot harder day see day go,0.7175076,negative
man crush jake peavy let,0.8537813,neutral
megafast time day going want see tried warn tech fail,0.5106972,negative
michigan state make sad,0.9240218,negative
mouth much pain wan na sleep untill time take brace,0.70370483,neutral
getting annoyed easily today biofuel getting annoyed easily today,0.9335435,negative
hey site girlyvue back even,0.63926053,neutral
spending time grandma early tomorrow leave skittle,0.83392125,neutral
got home watching michigan state get,0.8492292,neutral
oh two year worth work alot organize finishing bone ache,0.5090699,negative
exchanging laptop arrived,0.75855964,neutral
hope last feel,0.6609553,neutral
hang outage neccessary gon na home wekend dumb folk make work im free f sat,0.5460828,neutral
fun new mantra bay getting city overreacted clamped,0.5768488,neutral
hubby think important good spot red carpet trek movie,0.76149917,positive
swear matter long getting never get man eye hurt wah,0.48432645,negative
keep hair one permanent dye fade within week,0.86708915,neutral
reaction see coming,0.8320628,neutral
still feeling bit got new hope feel good night suppose,0.8771364,positive
think maybe get couple hour productive right ur dog worry,0.6901965,neutral
thanks learned lot new word find looking,0.78374,positive
wish xblm downloads gamertag gamertag thing tired,0.53412133,neutral
new testament test,0.7544177,neutral
ton hay ahhhh,0.7755632,neutral
stupid movie mirror rip,0.9607983,negative
love,0.5487024,positive
last still,0.6812853,neutral
nan,0.52818847,neutral
understand thing get taken enough time want like baby,0.71130246,neutral
scratch du heif tum take anymore poots,0.5203079,neutral
listening sweet first time miss much go chi town visit,0.7818897,positive
geez busy meeting email day still ah dark,0.6743155,neutral
another spring cool bad work week oh money ttyl,0.5825775,positive
im afraid ur reply uni age ago,0.5874031,negative
feeling,0.74811053,neutral
lol emotional as omg late night u broke,0.5352482,neutral
aww like hair cut,0.7862715,neutral
wonder jon lost net,0.69350034,neutral
depressing thing world losing video created matter,0.91430444,negative
say stock,0.68992394,neutral
lmao im sorry poohpot ate,0.6761589,negative
chance softbelly,0.6115394,neutral
time move posterior lose articulation creaking running drool swimming,0.52084124,neutral
listening nathan,0.86140525,neutral
today gon na die without chris,0.71503145,negative
stou site info open must wait mail notice,0.8934273,neutral
feeling kinda yucky going come quick,0.8086729,negative
love scrappy missin already,0.83822876,positive
want hear song myspace messing,0.56859267,neutral
bad news dad cancer dying good news new business started life coach practising holistic weight management,0.49800238,neutral
intervention soo sad,0.94862956,negative
need new stuck rut,0.7107904,neutral
feel like complete one get shit work help,0.9159899,negative
saw ad craigslist casting call female host totally realized hoax,0.56846976,negative
pepperoni roll called said sausage roll pepperoni roll,0.89020395,neutral
monday,0.5944201,neutral
want new gg episode already,0.55829173,neutral
miss watching modern,0.51915014,neutral
rip sad someone something like,0.6866094,negative
keeping finger crossed buddy feeling,0.8252761,neutral
wait skinny,0.70276266,neutral
tried tweetdeck hated hated,0.9173503,negative
btw iphone acting dying quickly freezing admitting sayin,0.7244104,negative
sitting wondering still strong hold,0.7984113,neutral
im sorry got going bed,0.518945,negative
internet drive ox use internet,0.8316675,neutral
weather canada freezing,0.57815915,negative
twiggassssssss range day back hopefully,0.8850044,positive
nan,0.52818847,neutral
anyone read pray pain,0.68242574,neutral
woke accident cry stop wetting,0.7974069,negative
home franklin almost jumped someone kicked jenny lost,0.49841172,neutral
changed,0.47830647,neutral
finally gave bored enough start think going problem like myspace,0.46586716,neutral
oooonly really awh definitely early,0.53815466,neutral
buttload,0.5124492,neutral
need another copy visual studio,0.812923,neutral
school school silly look bright u,0.45424974,positive
omg economics dont know thing know omg im gon na fail,0.93002045,negative
upon time hundred island pride philippine fish poaching kinda sad,0.8086489,negative
apparently really bad taste,0.94420445,negative
really surprised since everyone recommends call tomorrow figure,0.50805557,positive
waiting airport ride get harassed men trying sell ugly want,0.83643925,negative
left id location go bar fuckkkkkkkkkkkkk,0.91799116,negative
sorry understand last comment,0.52629006,neutral
stayed late last night,0.7533548,neutral
illegal torrent avlbl legal dvd stock,0.7744993,neutral
enough say imiss u,0.53621566,neutral
trolley packed like padre game remove good call mt,0.5231083,positive
trying help,0.6937889,neutral
happened saturday along glittery green,0.7291044,neutral
trying reduce number cigarette,0.7981401,neutral
yea quiet around cuz everyone work im bored death nobody talk,0.7525767,negative
got ta cooking assignment hard,0.57300067,neutral
talked people one ever told never,0.63854116,neutral
night owl hahaha time zone behind almost,0.72874784,neutral
lol complete,0.56591654,positive
useless sleep want fun,0.5008889,negative
pookie nurse gabbie get back,0.82674456,neutral
tweet something damn hang,0.7258991,negative
nan,0.52818847,neutral
behind video everything news,0.8576038,neutral
one left got tempted ate soon got home chocolate velvet ate mocha,0.6637666,neutral
stressing blackberry keep flashing red alert status faking hate,0.95996773,negative
wan na wear doc marten worn since,0.90603185,neutral
shoe repair shop guy could find go back see find couple,0.8809329,neutral
really see coming,0.73100287,neutral
woke dream time stare wall light,0.7329778,neutral
take day sister get passport,0.84675384,neutral
oh miss,0.53667307,neutral
uh think getting sick,0.7066003,negative
good god ruined belly,0.9574012,negative
watching framed roger make miss toon,0.77342695,neutral
cheap awesome buying attempt fall,0.9442419,positive
running nose spinning head good combination,0.7181504,positive
lost vote confidence,0.50857383,neutral
nasty budget due iphone sent apple,0.5784557,neutral
bad,0.593784,negative
episode king play reason stopped middle anything,0.77166706,neutral
upset missed chat quiz online free internet ceased,0.6306444,negative
believe disbelief way much take people always get hurt,0.89314073,negative
car show season started without,0.7546894,neutral
throat,0.5586682,neutral
get person mind could even ish like prayer fam real,0.71806335,neutral
hate need see need call therapist,0.9025289,negative
twilight come yesterday finger crossed today,0.7670825,neutral
glad able help feel hate see sick love,0.43709898,neutral
want sleep assignment finish exam tomorrow study,0.74530745,neutral
need money,0.56555,neutral
jst teusday,0.6869696,neutral
ummmmm cant find,0.6272084,negative
heard found sandra yr old,0.8592056,neutral
ive forgotten wonder ever meet,0.6294144,neutral
wow last tweet made seem like giant,0.5604763,positive
bathtub drain haz job iz got drano iz still wan na,0.78969985,neutral
stuck home,0.56099546,negative
mine get,0.6004602,neutral
duckling famous book stolen public garden boston globe via oh,0.6433507,neutral
thank hate list includes,0.84989953,negative
heading hour install,0.63588965,neutral
good im bloody work today xxx,0.63216853,positive
park,0.60501117,neutral
nan,0.52818847,neutral
popular probably difficult reading ever actually struggling continue,0.78379995,negative
cant see flower falling dont cellphone,0.57502514,negative
liking snow right getting used nice,0.96629894,positive
pity youtube currently blocked see,0.85930496,negative
happened show hightlight life,0.8800166,neutral
best leather sofa office though mean still working,0.717886,positive
still day internet get uncapped,0.6792779,negative
get better could something lodged belly,0.58882284,positive
love atekinzz soo miss,0.91759133,positive
wan na sneak zoo play kitty,0.8325624,neutral
oh hope getting sick,0.82703304,negative
dont think cause cousin birthday party,0.62895936,neutral
sweet little man fell asleep waiting daddy big brother get poor missed much,0.61361367,negative
angel going miss athlete weekend,0.54872936,negative
trust hard,0.63658804,neutral
watched considering shawnna need bestfriend,0.90386575,neutral
grr want keep reading wont anything left read,0.7372004,neutral
world,0.55359524,neutral
u supposed date,0.8018832,neutral
pear bottle date tad oh gawwd life flashed forward cat,0.7492069,neutral
need dress,0.70442986,neutral
nan,0.52818847,neutral
geez ur fun,0.8232573,positive
wan na punk rock band,0.86467624,neutral
lot angst tuesday afternoon,0.66872305,neutral
glad britney crazy one hell sad next cook,0.73820496,negative
huuuge omg feel like,0.5199977,neutral
sorry,0.60197455,negative
rooting,0.61475223,neutral
took,0.6710665,neutral
nan,0.52818847,neutral
listing item ebay take coleman watching hill season premier without,0.89567024,neutral
got presentation slide cry week hardest,0.6702596,negative
lost,0.5046553,negative
like previously skin thing start season like went straight intro like,0.865611,neutral
wish pretty good scaring shit people,0.3927827,neutral
going sound running fav lip gloss,0.6713931,neutral
never click link known yucky,0.89026356,negative
time work get,0.64453137,neutral
imac came indonesia,0.7957203,neutral
need stop buying furniture,0.6417271,negative
half asleep turned laptop,0.5123292,neutral
death life bite,0.64184654,negative
think lost net sure hope,0.5853404,neutral
test footage girlfriend dark one underxposed,0.81963056,neutral
tough game watch tonight state finally going bed also staying watch season premiere,0.7120555,neutral
seems jruby support hpricot two version behind,0.8662019,neutral
unlike still one,0.4868065,neutral
fraking app store pissing,0.93191534,negative
logging need,0.6731516,neutral
anyone else problem accessing cant get,0.75889426,negative
strongly dislike people make stupid comment dont know whole story,0.9702028,negative
sorry swarley sad,0.770107,negative
tweet already missed guy,0.5580868,negative
sleep face kinda let allergic thing get school,0.5584955,negative
cat stare chase,0.71268874,neutral
officially banning head hurt small print wasted happily gone boba,0.5669425,negative
pretty much scary,0.7674469,negative
mine finding well hard get,0.5220487,neutral
good ready want go back bed,0.67750317,positive
hate waiting mail,0.8992393,negative
wheat bread dollar store toast nicely going tax calling early night,0.72468877,positive
mean knew something going happen someone house well still sad,0.7943081,negative
aw ok,0.52657855,neutral
ill cant go,0.7459152,negative
fell asleep really mean,0.78392285,negative
remember time used need sleep,0.6598361,neutral
lymph node massive rahm ball right,0.8530993,neutral
oh computer think able listen xbox fancast tonite,0.73671615,neutral
missing playing trumpet,0.8093719,neutral
throat still really meant going day camp friday sure,0.7319436,neutral
know exactly,0.5793116,neutral
work,0.5791137,neutral
well bed time back morning week,0.79762304,neutral
jesus,0.4888166,neutral
oh everything happened forgot going dress shopping opera,0.50463736,neutral
turtle better mac last longer move faster,0.55839354,positive
pleasant,0.52593106,neutral
sorry hear thought,0.55092263,neutral
may email one hope feel,0.70229197,neutral
dead yu gettin wen im leavin,0.70486665,neutral
please tell somewhere close,0.8304656,neutral
nan,0.52818847,neutral
stupid arranged convert marry,0.8931871,negative
well said show implies,0.74930847,neutral
poor sandra cantu cantu prayer go sick world live,0.8847884,negative
fuck omg austin always though man love,0.6452148,positive
cried hard matthew died,0.6965085,negative
sad macbook fell sad macbook fell,0.8061685,negative
last find like twitter,0.74826574,neutral
absolutely,0.45594782,neutral
filled curry true indian coming,0.8198567,neutral
im soooo cold right,0.8072667,negative
lol kant believe cam got beat upp sooo embarasssiiiin,0.641842,negative
good knight looking forward ur tweet hate keep missing fun cuz time difference,0.63181263,positive
exactly feel wearing,0.7326892,neutral
realized definitely isnt word,0.5163518,neutral
watching old video dance team make miss,0.6209891,neutral
wahh csi love money though gon na watch sleep goodnight,0.8272367,positive
struggling hard inventory,0.5845725,negative
hate please,0.6291475,negative
haha im still got bill paaaaay,0.50010526,neutral
one day really want work,0.51050854,neutral
game,0.5178495,neutral
guess,0.57303655,neutral
get bunch mumbo jumbo,0.6852059,neutral
got work uk u moment,0.7052008,neutral
evicted,0.5059597,neutral
enjoy learning,0.9129962,positive
brian make fuck u lol replied ur u get miss u,0.89523405,negative
went watch apparently dish network went missed catch,0.5158897,neutral
u may wait another season come summe hot nd dry as weather,0.8412636,neutral
set foot missing eyelid people might get,0.6703774,neutral
english professor would,0.7513219,neutral
wish frog becoming extinct,0.52665466,negative
came home cross tired,0.6193167,neutral
want walk home want pick,0.815729,neutral
lauren love love feel bad made cry,0.41970026,neutral
want bmar,0.6223597,neutral
heart broken every morning dropping foo pre understand mom say heart,0.8920613,negative
feeling well back hurt,0.60776216,positive
im mood miniature reeses,0.82164365,neutral
take like oven feel sick nwo,0.8934554,negative
come chat minute,0.7336775,neutral
colddd internet keep stuffing,0.893158,negative
horrible nightmare last night affected really tired,0.96888936,negative
im lonely keep new york,0.58782655,negative
lost ignacius prepatory,0.67758304,neutral
yeah really stuff like get,0.67379344,neutral
lot nz,0.67679197,neutral
hey said matt gon na go disappointed good ep tho mostly,0.6436485,neutral
ugh horrible ending sandra kantu story prayer go,0.9323214,negative
hate b allergic want puppy soo bad already thought cool name,0.7538552,negative
morning folk away see horse hope twitter better behaved last night travesty,0.4970971,negative
miss mine,0.65464836,neutral
sorry hear many year,0.6143825,neutral
gossip girl repeat,0.53966266,neutral
reckon,0.6142911,neutral
finding really hard use twitter,0.69183004,negative
stuck house two day,0.5898228,negative
really sad really know,0.87661904,negative
nan,0.52818847,neutral
maybe one year get tax girl,0.8260566,neutral
back tired hell feel cold coming,0.82200575,negative
april coming soon enough,0.61805564,neutral
cream eye may herpes ocular different okay,0.7523818,neutral
got ta repeat whole art folio cuz old one whole term work got wet,0.51735306,neutral
ready weekend,0.6002361,neutral
umm im insomniac got sleepin like phuckin fish outta water minute,0.8428088,negative
finland sleeping really enough time,0.6454406,neutral
wait try em prolly wait next weekend earliest,0.8068058,neutral
shiner taking bed,0.81716466,neutral
april coming soon enough,0.61805564,neutral
want cry,0.6419531,negative
need go bank tomorrow go,0.8185388,neutral
earthquake italy three hour away family,0.7767768,neutral
stressed week coming,0.71796185,negative
yea working tp hack server thing folk,0.8579235,neutral
hurt going dr,0.6605382,negative
oh manage send something trash empty without feel ya,0.87623894,negative
lost free copy radioactive put ipod go buy coz came paper,0.561845,neutral
make shit,0.7748116,negative
hate crash,0.8063026,negative
vacation make feel,0.6946185,neutral
gone,0.553786,neutral
listening murd chillen missing crazy sex life,0.6933544,neutral
luisa,0.65014035,neutral
sure everyone ruined gift whitney serious cell easter,0.6924711,negative
beso tired,0.48373225,negative
want wake early damn,0.58976567,negative
finished watching movie prayer broke heart,0.8952724,negative
myki really,0.6462495,neutral
put dog today someone ran,0.62488115,neutral
sorry hear dnf run always risk get bad coords,0.867984,negative
get disgruntled people wrote hit one day made bill pull top,0.52685225,neutral
cry right kutnerrrr,0.71527594,neutral
came back running took lower stomach still hurt,0.6863538,negative
watching fallon mom working hard,0.52619076,positive
min till home time craving visit mac store closed time get,0.8977986,neutral
sorry hear take,0.6027934,neutral
good motivates individual much take away others,0.5626279,neutral
rub want mocha,0.5288146,neutral
think still penn bright star ho,0.7019905,neutral
mom wish best luck,0.8623422,positive
hate homework head hurt bad,0.9720747,negative
got ebay item want jumped bidder still hour better get hope,0.51235425,neutral
know little depressed ate much last night leftover today,0.5987542,negative
well pc living room suffered fatal partion itunes library doc,0.8393392,negative
sad manu season,0.7275596,negative
poor rotti made go know feel,0.5911936,negative
im sooo sad right need hug,0.8956679,negative
want step brother home im dont even hope know much care,0.5373406,negative
got done watching loved excited next im sad last,0.4389766,positive
aww,0.55542064,neutral
